Transformer Model Training Log
============================================================
d_model: 64, heads: 4, layers: 3, ff: 128, dropout: 0.2
============================================================

Epoch, Train Loss, Val Loss, Test Loss
1,6.759788e-03,4.287708e-04,3.001075e-04
2,3.084925e-04,3.967584e-04,2.603919e-04
3,2.696282e-04,3.969089e-04,2.561899e-04
4,2.764609e-04,4.044294e-04,2.588421e-04
5,2.597323e-04,3.933937e-04,2.507154e-04
6,2.421281e-04,3.952864e-04,2.499894e-04
7,2.388352e-04,3.961752e-04,2.494301e-04
8,2.249943e-04,4.009442e-04,2.514719e-04
9,2.526212e-04,3.967029e-04,2.533651e-04
10,2.421701e-04,3.959047e-04,2.495029e-04
11,2.180871e-04,3.958466e-04,2.504226e-04
12,2.296964e-04,3.964641e-04,2.523208e-04
13,2.502990e-04,3.948147e-04,2.543501e-04
14,2.356137e-04,3.989580e-04,2.606310e-04
15,2.341903e-04,3.958924e-04,2.494134e-04
16,2.293901e-04,3.948793e-04,2.554677e-04
17,2.184954e-04,3.951880e-04,2.543705e-04
18,2.231124e-04,3.965560e-04,2.534824e-04
19,2.409539e-04,3.955773e-04,2.495817e-04
20,2.279574e-04,3.955904e-04,2.501390e-04
